iter	Passed	Remaining
1431	49507	12549
1432	49541	12515
1433	49582	12481
1434	49617	12447
1435	49659	12414
1436	49701	12382
1437	49744	12349
1438	49784	12316
1439	49821	12282
1440	49860	12248
1441	49899	12215
1442	49940	12182
1443	49980	12149
1444	50020	12115
1445	50061	12082
1446	50107	12050
1447	50148	12017
1448	50189	11984
1449	50230	11951
1450	50270	11918
1451	50305	11883
1452	50336	11847
1453	50377	11814
1454	50413	11780
1455	50455	11747
1456	50495	11714
1457	50533	11680
1458	50564	11644
1459	50591	11608
1460	50634	11575
1461	50674	11542
1462	50714	11508
1463	50751	11474
1464	50790	11440
1465	50830	11407
1466	50870	11373
1467	50911	11340
1468	50950	11306
1469	50981	11271
1470	51017	11237
1471	51048	11201
1472	51087	11167
1473	51124	11133
1474	51164	11100
1475	51199	11065
1476	51237	11031
1477	51274	10997
1478	51314	10963
1479	51355	10930
1480	51393	10896
1481	51431	10862
1482	51472	10828
1483	51507	10794
1484	51541	10759
1485	51579	10725
1486	51618	10691
1487	51661	10658
1488	51704	10625
1489	51744	10591
1490	51785	10558
1491	51825	10524
1492	51865	10491
1493	51901	10456
1494	51937	10422
1495	51978	10388
1496	52019	10355
1497	52060	10321
1498	52098	10287
1499	52135	10253
1500	52174	10219
1501	52216	10185
1502	52253	10151
1503	52291	10117
1504	52331	10083
1505	52371	10050
1506	52411	10016
1507	52453	9982
1508	52496	9949
1509	52533	9915
1510	52569	9880
1511	52612	9847
1512	52651	9813
1513	52691	9779
1514	52731	9745
1515	52770	9711
1516	52806	9677
1517	52843	9642
1518	52879	9608
1519	52916	9573
1520	52952	9539
1521	52991	9505
1522	53030	9470
1523	53068	9436
1524	53106	9402
1525	53146	9368
1526	53188	9334
1527	53227	9300
1528	53271	9267
1529	53303	9232
1530	53344	9198
1531	53385	9164
1532	53426	9131
1533	53463	9096
1534	53502	9062
1535	53547	9029
1536	53592	8995
1537	53630	8961
1538	53669	8927
1539	53706	8892
1540	53742	8858
1541	53777	8823
1542	53821	8790
1543	53859	8755
1544	53900	8721
1545	53939	8687
1546	53979	8653
1547	54019	8619
1548	54060	8585
1549	54101	8551
1550	54139	8517
1551	54177	8482
1552	54218	8448
1553	54254	8413
1554	54292	8379
1555	54331	8345
1556	54365	8310
1557	54407	8276
1558	54450	8242
1559	54488	8208
1560	54526	8173
1561	54561	8138
1562	54599	8104
1563	54643	8070
1564	54685	8036
1565	54726	8002
1566	54757	7967
1567	54787	7931
1568	54827	7897
1569	54866	7863
1570	54899	7827
1571	54937	7793
1572	54977	7759
1573	55013	7724
1574	55046	7689
1575	55085	7654
1576	55126	7620
1577	55168	7586
1578	55209	7552
1579	55243	7517
1580	55282	7482
1581	55327	7449
1582	55367	7415
1583	55406	7380
1584	55445	7346
1585	55486	7311
1586	55527	7277
1587	55563	7242
1588	55601	7208
1589	55639	7173
1590	55670	7138
1591	55713	7104
1592	55743	7068
1593	55776	7033
1594	55805	6997
1595	55842	6962
1596	55884	6928
1597	55918	6893
1598	55954	6858
1599	55988	6823
1600	56027	6789
1601	56070	6755
1602	56109	6720
1603	56148	6686
1604	56189	6651
1605	56230	6617
1606	56270	6582
1607	56311	6548
1608	56344	6513
1609	56381	6478
1610	56419	6443
1611	56452	6408
1612	56490	6373
1613	56532	6339
1614	56571	6305
1615	56611	6270
1616	56651	6236
1617	56693	6201
1618	56730	6167
1619	56769	6132
1620	56808	6097
1621	56844	6062
1622	56880	6028
1623	56919	5993
1624	56961	5959
1625	57003	5924
1626	57044	5890
1627	57082	5855
1628	57119	5820
1629	57155	5785
1630	57198	5751
1631	57239	5716
1632	57275	5681
1633	57315	5647
1634	57345	5611
1635	57383	5576
1636	57421	5542
1637	57459	5507
1638	57494	5472
1639	57532	5437
1640	57565	5402
1641	57602	5367
1642	57643	5332
1643	57685	5298
1644	57726	5263
1645	57761	5228
1646	57793	5193
1647	57830	5158
1648	57872	5123
1649	57902	5088
1650	57938	5053
1651	57972	5018
1652	58013	4983
1653	58055	4949
1654	58094	4914
1655	58130	4879
1656	58171	4844
1657	58204	4809
1658	58240	4774
1659	58279	4739
1660	58317	4704
1661	58357	4669
1662	58397	4635
1663	58434	4600
1664	58470	4565
